#taxonomy	magic.0040	magic.0112	magic.0134	magic.0317	magic.0020	magic.0402	magic.0232	magic.0315	magic.0435	magic.0018	magic.0124	magic.0150	magic.0532	magic.0030	magic.0079	magic.0013	magic.0132	magic.0316	magic.0374	magic.0001	magic.0243	magic.0173	magic.0542	magic.0146	magic.0100	magic.0537	magic.0156	magic.0244	magic.0456	magic.0339	magic.0053	magic.0367	magic.0016	magic.0164	magic.0231	magic.0551	magic.0048	magic.0331	magic.0440	magic.0004	magic.0531	magic.0179	magic.0526	magic.0539	magic.0075	magic.0149	magic.0242	magic.0514	magic.0246	magic.0017	magic.0078	magic.0011	magic.0109	magic.0131	magic.0552	magic.0465	magic.0015	magic.0527	magic.0021	magic.0063	magic.0396	magic.0337	magic.0471	magic.0428	magic.0547	magic.0287	magic.0272	magic.0148	magic.0110	magic.0050	magic.0307	magic.0170	magic.0268	magic.0417	magic.0300	magic.0538	magic.0334	magic.0290	magic.0541	magic.0278	magic.0335	magic.0059	magic.0549	magic.0217	magic.0543	magic.0322	magic.0433	magic.0429	magic.0473	magic.0189	magic.0028
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri	34	0	28	33	2	0	16	0	0	26	1	2	0	47	0	118	270	1	0	1	0	2	2	13	1	0	1	0	5	0	10	15	6	6	0	0	3	1	1	10	0	4	0	0	0	1	2	74	0	15	0	0	3	0	0	2	17	0	0	0	0	17	0	1	23	0	0	0	0	23	0	46	0	0	0	0	0	11	0	0	0	20	0	0	0	0	1	0	0	20210	37
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;NA;NA;NA	613	22	52	1524	473	1	11	1	38	29	1	22	5	40	10	348	134	255	45	91	40	2	168	282	3	148	22	62	48	29	19	479	55	12	117	6	14	100	4	110	52	197	15	43	234	5	43	37	12	523	28	11	10	3	27	48	327	127	5	14	126	572	63	27	3	125	1	1	392	24	0	30	0	5	208	6	3	494	70	14	666	3	186	3	67	12	3	0	26	59	22
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;NA	1108	7	8	1125	858	7	1	0	3	63	1	48	54	75	0	862	85	129	94	502	4	2	14	754	0	21	0	0	137	12	19	1240	235	0	427	3	24	67	1	603	60	18	45	81	7	2	5	80	13	8	74	21	6	10	55	17	943	488	0	75	450	405	68	43	0	47	0	0	18	34	0	5	0	12	19	12	3	4	0	25	944	20	234	0	17	3	0	2	1	50	7
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus casseliflavus	0	0	20	4	0	4	2	0	0	1	0	1	459	7	0	1	4	0	0	0	7	0	2	0	0	0	1	0	0	0	0	0	0	4	3	3	0	188	0	0	75	0	43	0	0	2	1	14	0	0	0	0	0	0	1	7	0	1	0	3	0	0	4114	4	9	38	0	0	0	2	1	0	12	2	3	1	96	35	0	1329	22262	0	14243	2	0	0	0	0	0	27	37
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis	431679	1606	1940	97040	180102	427	21	20	67	20675	6	4332	2723	24544	13	170333	28220	12533	4558	52518	5	31	1621	66614	1	3425	62	9	10811	639	595	101025	23584	20	26631	1126	4984	10937	55	60672	192	4427	6048	13141	5	280	10	7863	764	20	12767	2244	269	486	4653	12	94171	27480	11	33	40074	129483	653	9124	75	107	10	6	45	3068	9	107	17	110	1722	108	91	112	8	12	16128	178	6	6	1306	58	10	237	328	4266	5294
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecium	27	0	2	622	442	0	0	0	2	19	0	9	1559	64	0	43	50	53	21	92	0	0	4	106	0	4	0	1	10	5	2	544	39	0	266	2	14	41	1	111	20	4	1216	1	17	1	160	86	3	44	25	5	2	2	14	2	153	364	0	280	63	9	19	4	1	0	0	0	0	4	1	0	0	2	2	34	3	0	0	8	187	0	77	0	1	0	0	0	0	14	171
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;NA	0	0	2	5	36	0	0	0	1	1	0	0	0	11	1	0	3	0	0	0	145	0	0	0	1	2	1	426	0	0	2	171	15	0	12	0	0	0	2	354	0	0	6	3	1028	3	0	10	56	2	0	0	0	0	2	13	0	5	0	1	0	3	0	3	0	0	28	9	1536	107	0	3	0	0	0	2	1	8585	326	0	13	3	10	0	210	0	0	0	57	23	52
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri	0	0	1	11	0	1	0	0	1	0	1	0	1	5	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	5	2106	218	0	0	1	2	8	1	10012	0	0	2	1	0	16	0	157	1	12	0	0	0	0	0	0	2	1	0	0	0	0	0	44	0	2	761	0	2	0	1	3	0	0	5	1	15	297487	10	0	0	25	1	0	0	0	0	0	820	624	208
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paracasei	1	0	6	0	1326	1	0	0	41	1	1	0	1	245	0	2	95	0	0	2	4468	0	4	0	0	1	65	749	0	0	2	2	139	2	1	0	0	3	11	12	2	2	2	5	31200	2	1	6	132	0	0	0	4	0	3	2	1	5	0	7	0	0	0	1	4	35	0	79	49585	284	0	0	1	0	1	6	9	2227	847	0	38	3	37	0	6394	0	0	0	0	182	816
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus rhamnosus	0	0	12	4	66	0	0	1	48	2	0	0	11	7	1	1	7	0	0	0	46	2	8	5	0	0	3	21578	1	0	0	4	0	37	1	0	1	1	170	1	0	57	195	182	1328	3	4	40	3819	0	0	4	0	1	0	391	0	1	1	1	0	0	0	0	3	5	0	489	113	5648	3	0	0	0	2	71	13	16	6016	0	74	0	1	1	83	0	0	0	1	378	319
